"Register Number",Date,Time,Location,"Vehicle Direction",Make,Colour,Photo,Violation,City,"Lane Name","Camera ID"
KL78B4737,2023-01-23,05:29:55,IRITTY,,Chevrolet,NA,http://59.96.61.71/getFile/P01C030-2023012300522.jpg,,KANNUR_RURAL,"Keezhur To Iritty Junction Lane1",C03
KL35D8465,2023-01-23,05:10:42,VENGALLUR,,Audi,NA,http://59.94.179.116/getFile/P06C150-2023012300744.jpg,,IDUKKI,"Vengallur to Thodupuzha",C15
KL78B4737,2023-01-23,05:29:55,IRITTY,,Audi,NA,http://59.96.61.71/getFile/P01C040-2023012300808.jpg,,KANNUR_RURAL,"Keezhur To Iritty Junction Lane2",C04
KL50F3967,2023-01-23,05:29:54,IRITTY,,Hyundai,Black,http://59.96.61.71/getFile/P01C040-2023012300800.jpg,,KANNUR_RURAL,"Keezhur To Iritty Junction Lane2",C04
KL35C0724,2023-01-23,05:29:57,"35th MILE",,,NA,http://59.94.179.116/getFile/P07C180-2023012300592.jpg,,IDUKKI,"35th Mile to Kuttikkanam",C18
KL65UB2755,2023-01-23,05:29:50,ELATHUR_JN,,,Black,http://117.247.180.163/getFile/P08C170-2023012300924.jpg,,KOZHIKODE,"ELATHUR TO KANNUR",C17
KL04AP6771,2023-01-22,14:54:20,"35th MILE",,,Blue,http://59.94.179.116/getFile/P07C170-2023012206724.jpg,,IDUKKI,"35th Mile to Mundakayam",C17
KL54J2146,2023-01-23,05:29:55,NEELIYADU_JN,,,NA,http://117.221.64.243/getFile/P07C160-2023012300308.jpg,helmet_violation,MALAPPURAM,"NEELIYADU TO EDAPPAL",C16
KL58D1157,2023-01-23,05:29:58,VAIDHYARANGADI_JN,,Suzuki,Grey,http://117.247.180.163/getFile/P10C251-2023012303068.jpg,,KOZHIKODE,"VAIDHYARANGADI TO KKD LANE1",C25
KL58D119,2023-01-23,05:29:58,VAIDHYARANGADI_JN,,,Black,http://117.247.180.163/getFile/P10C261-2023012300462.jpg,,KOZHIKODE,"VAIDHYARANGADI TO KKD LANE2",C26
KL64E1349,2023-01-23,05:29:59,VAIDHYARANGADI_JN,,Suzuki,Grey,http://117.247.180.163/getFile/P10C241-2023012302214.jpg,,KOZHIKODE,"VAIDHYARANGADI TO MALAPPURAM LANE2",C24
KL07N882,2023-01-23,05:29:31,THAVALAKUZHI,,,NA,http://59.94.178.105/getFile/P02C062-2023012301028.jpg,,KOTTAYAM,"Thavalakuzhi To Pattithanam",C06
KL30H3376,2023-01-23,05:29:59,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C021-2023012301502.jpg,,KOTTAYAM,"Laikkad To Thiruvalla Lane 2",C02
KL30H3376,2023-01-23,05:29:59,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C011-2023012301442.jpg,,KOTTAYAM,"Laikkad To Thiruvalla Lane 1",C01
KL07NH8,2023-01-23,05:29:31,THAVALAKUZHI,,Honda,NA,http://59.94.178.105/getFile/P02C062-2023012300942.jpg,,KOTTAYAM,"Thavalakuzhi To Pattithanam",C06
